order_id,order_date,customer_id,customer_name,region,segment,product,category,sales,profit,quantity,discount
58,2023-02-27,1269,Ayesha Noor,West,Consumer,Chair,Furniture,2698.09,747.49,14,0.31
59,2023-02-28,1270,Ali Khan,West,Home Office,Headphones,Technology,236.6,-231.95,7,0.42
60,2023-03-01,1214,Sara Ahmed,South,Home Office,Tablet,Furniture,4049.94,-268.48,7,0.25
61,2023-03-02,1251,Fatima Zahra,East,Home Office,Tablet,Furniture,1637.59,1188.37,6,0.06
62,2023-03-03,1189,Ali Khan,South,Home Office,Tablet,Furniture,2834.03,-221.4,10,0.01
63,2023-03-04,1295,Ayesha Noor,East,Corporate,Headphones,Office Supplies,1433.25,540.46,11,0.15
64,2023-03-05,1212,Michael Lee,North,Corporate,Tablet,Office Supplies,3923.38,-425.77,9,0.35
65,2023-03-06,1207,Ali Khan,West,Consumer,Chair,Technology,4438.19,-338.66,13,0.4
66,2023-03-07,1236,Fatima Zahra,South,Home Office,Headphones,Technology,2023.28,844.7,9,0.15
67,2023-03-08,1052,Ali Khan,East,Corporate,Tablet,Furniture,4321.47,878.36,7,0.25
68,2023-03-09,1279,John Smith,North,Consumer,Headphones,Office Supplies,1372.02,182.94,9,0.21
69,2023-03-10,1216,Michael Lee,North,Consumer,Desk,Furniture,2696.57,-68.78,13,0.21
70,2023-03-11,1251,Fatima Zahra,West,Corporate,Chair,Furniture,4300.87,1127.42,10,0.12
71,2023-03-12,1187,Fatima Zahra,East,Home Office,Printer,Office Supplies,1663.11,-65.79,3,0.07
72,2023-03-13,1040,Sara Ahmed,South,Consumer,Laptop,Office Supplies,4772.51,584.05,3,0.1
73,2023-03-14,1156,Ayesha Noor,West,Home Office,Tablet,Office Supplies,653.3,1436.42,1,0.03
74,2023-03-15,1014,Sara Ahmed,South,Home Office,Laptop,Technology,140.46,-204.3,5,0.1
75,2023-03-16,1064,Fatima Zahra,North,Home Office,Headphones,Technology,4525.47,1381.75,4,0.0
76,2023-03-17,1008,Michael Lee,South,Consumer,Laptop,Furniture,389.81,-134.21,2,0.31
77,2023-03-18,1128,Ali Khan,South,Home Office,Chair,Technology,4959.85,634.89,9,0.16
78,2023-03-19,1135,Ali Khan,West,Consumer,Chair,Office Supplies,4759.41,254.02,3,0.49
79,2023-03-20,1062,Michael Lee,South,Home Office,Mobile,Office Supplies,728.25,1429.86,8,0.1
80,2023-03-21,1138,Fatima Zahra,West,Consumer,Tablet,Technology,2711.04,47.08,6,0.17
81,2023-03-22,1080,Ali Khan,North,Home Office,Mobile,Furniture,965.36,299.32,14,0.18
82,2023-03-23,1162,Ali Khan,West,Corporate,Laptop,Furniture,2169.37,1465.72,13,0.0
83,2023-03-24,1288,Ali Khan,West,Home Office,Printer,Technology,354.05,572.94,5,0.42
84,2023-03-25,1260,Ayesha Noor,East,Home Office,Mobile,Furniture,1158.43,505.26,1,0.02
85,2023-03-26,1230,Ayesha Noor,South,Consumer,Mobile,Furniture,1848.2,15.56,4,0.47
86,2023-03-27,1040,John Smith,North,Consumer,Chair,Furniture,2221.31,902.73,3,0.45
87,2023-03-28,1027,Sara Ahmed,West,Home Office,Printer,Office Supplies,4888.61,-471.25,1,0.27
88,2023-03-29,1134,Michael Lee,North,Corporate,Headphones,Office Supplies,4048.93,-400.97,12,0.27
89,2023-03-30,1200,Michael Lee,East,Corporate,Laptop,Technology,3700.18,698.72,5,0.33
90,2023-03-31,1267,Michael Lee,South,Consumer,Mobile,Office Supplies,2708.35,183.35,6,0.19
91,2023-04-01,1032,John Smith,West,Corporate,Printer,Furniture,4207.99,1406.63,2,0.32
92,2023-04-02,1047,Ayesha Noor,South,Home Office,Tablet,Office Supplies,1729.65,1306.38,14,0.02
93,2023-04-03,1061,Fatima Zahra,East,Consumer,Printer,Technology,3559.05,927.41,3,0.03
94,2023-04-04,1215,Fatima Zahra,East,Home Office,Laptop,Office Supplies,4969.23,1136.29,11,0.23
95,2023-04-05,1292,John Smith,North,Consumer,Printer,Furniture,1607.41,834.66,14,0.27
96,2023-04-06,1098,Fatima Zahra,West,Consumer,Printer,Furniture,3386.39,-248.84,6,0.44
97,2023-04-07,1171,Michael Lee,North,Consumer,Printer,Technology,4229.36,1031.09,4,0.05
98,2023-04-08,1213,Sara Ahmed,East,Consumer,Tablet,Office Supplies,4583.25,-79.62,9,0.41
99,2023-04-09,1034,Ali Khan,South,Corporate,Mobile,Office Supplies,3603.77,146.89,5,0.11
100,2023-04-10,1226,Ayesha Noor,North,Home Office,Laptop,Office Supplies,1453.86,1138.47,4,0.2
101,2023-04-11,1100,Ayesha Noor,North,Home Office,Tablet,Furniture,1665.1,573.05,2,0.16
102,2023-04-12,1130,John Smith,South,Home Office,Printer,Technology,152.75,1219.88,6,0.2
103,2023-04-13,1256,Ayesha Noor,North,Consumer,Printer,Office Supplies,3816.39,-73.93,10,0.08
104,2023-04-14,1004,Michael Lee,South,Corporate,Mobile,Furniture,261.56,715.56,2,0.25
105,2023-04-15,1217,Fatima Zahra,West,Home Office,Laptop,Furniture,4330.03,-332.42,12,0.4
106,2023-04-16,1254,Michael Lee,South,Corporate,Chair,Furniture,637.37,786.12,13,0.22
107,2023-04-17,1282,John Smith,West,Consumer,Tablet,Office Supplies,900.79,1025.07,7,0.25
108,2023-04-18,1206,Michael Lee,South,Home Office,Mobile,Office Supplies,2408.81,669.86,3,0.42
109,2023-04-19,1014,Fatima Zahra,East,Corporate,Laptop,Office Supplies,3702.51,32.46,9,0.35
110,2023-04-20,1041,Sara Ahmed,East,Consumer,Tablet,Office Supplies,738.06,-437.31,11,0.25
111,2023-04-21,1178,John Smith,West,Corporate,Printer,Office Supplies,2228.35,-261.1,5,0.13
112,2023-04-22,1062,Sara Ahmed,West,Home Office,Laptop,Office Supplies,2440.11,744.61,8,0.44
113,2023-04-23,1230,Ali Khan,East,Home Office,Laptop,Office Supplies,1100.81,1368.84,11,0.29
114,2023-04-24,1240,Sara Ahmed,West,Consumer,Headphones,Office Supplies,622.01,-86.93,6,0.11
115,2023-04-25,1051,Ali Khan,South,Consumer,Laptop,Office Supplies,4190.28,970.05,14,0.13
116,2023-04-26,1095,Ali Khan,South,Consumer,Chair,Furniture,2537.2,1232.9,12,0.4
117,2023-04-27,1221,Sara Ahmed,East,Corporate,Laptop,Office Supplies,121.19,541.76,10,0.02
118,2023-04-28,1230,John Smith,North,Corporate,Chair,Technology,4024.76,838.53,8,0.5
119,2023-04-29,1236,Fatima Zahra,South,Corporate,Printer,Furniture,4904.93,1130.03,13,0.07
120,2023-04-30,1142,Michael Lee,West,Consumer,Chair,Office Supplies,3049.33,21.35,13,0.4
121,2023-05-01,1170,Michael Lee,North,Home Office,Tablet,Technology,2543.36,93.79,11,0.2
122,2023-05-02,1028,Fatima Zahra,North,Home Office,Printer,Office Supplies,4398.16,-498.74,12,0.25
123,2023-05-03,1035,Ali Khan,South,Corporate,Printer,Technology,4764.96,1426.19,3,0.44
124,2023-05-04,1012,Ali Khan,South,Corporate,Chair,Technology,3784.96,1335.09,3,0.21
125,2023-05-05,1159,John Smith,North,Home Office,Mobile,Technology,2254.99,1029.14,5,0.27
126,2023-05-06,1186,Ayesha Noor,North,Home Office,Desk,Technology,2981.5,-341.85,11,0.02
127,2023-05-07,1242,Sara Ahmed,East,Corporate,Laptop,Furniture,3519.63,395.01,10,0.0
128,2023-05-08,1085,Ali Khan,West,Corporate,Headphones,Furniture,1011.65,-296.22,3,0.12
129,2023-05-09,1283,Michael Lee,East,Home Office,Desk,Technology,2263.65,-468.16,8,0.34
130,2023-05-10,1065,John Smith,South,Consumer,Laptop,Office Supplies,4157.62,732.37,10,0.06
131,2023-05-11,1169,Sara Ahmed,East,Corporate,Laptop,Technology,3290.89,1421.66,13,0.06
132,2023-05-12,1044,John Smith,East,Home Office,Printer,Furniture,2085.46,1305.74,12,0.21
133,2023-05-13,1061,Sara Ahmed,East,Home Office,Laptop,Office Supplies,3333.64,893.51,14,0.32
134,2023-05-14,1133,Sara Ahmed,East,Home Office,Headphones,Furniture,635.2,-306.72,8,0.36
135,2023-05-15,1283,Fatima Zahra,West,Home Office,Laptop,Furniture,2037.41,48.33,2,0.09
136,2023-05-16,1027,Ali Khan,West,Consumer,Chair,Office Supplies,3975.99,140.11,12,0.04
137,2023-05-17,1107,John Smith,North,Home Office,Desk,Technology,1141.52,1026.3,4,0.47
138,2023-05-18,1043,John Smith,South,Corporate,Chair,Technology,970.51,1104.5,10,0.13
139,2023-05-19,1285,Fatima Zahra,East,Consumer,Headphones,Technology,4756.55,270.21,13,0.43
140,2023-05-20,1127,Michael Lee,North,Home Office,Laptop,Technology,1088.99,335.77,1,0.43
141,2023-05-21,1230,Michael Lee,North,Consumer,Tablet,Office Supplies,1341.55,-410.98,4,0.39
142,2023-05-22,1189,Ali Khan,North,Corporate,Headphones,Office Supplies,4849.6,78.27,12,0.08
143,2023-05-23,1224,Ali Khan,West,Home Office,Printer,Office Supplies,3686.81,402.57,13,0.41
144,2023-05-24,1282,Ayesha Noor,East,Corporate,Chair,Furniture,3513.0,-266.03,13,0.38
145,2023-05-25,1120,Fatima Zahra,East,Home Office,Chair,Office Supplies,4271.99,406.53,11,0.3
146,2023-05-26,1115,Michael Lee,South,Home Office,Mobile,Technology,623.32,1206.35,13,0.17
147,2023-05-27,1232,Sara Ahmed,East,Home Office,Laptop,Furniture,3544.48,662.64,4,0.13
148,2023-05-28,1258,John Smith,East,Home Office,Printer,Technology,2543.26,-342.14,10,0.06
149,2023-05-29,1197,Ali Khan,North,Home Office,Tablet,Technology,4154.3,-116.66,9,0.25
150,2023-05-30,1136,John Smith,South,Consumer,Chair,Office Supplies,2565.3,449.09,3,0.29
151,2023-05-31,1164,John Smith,East,Home Office,Chair,Office Supplies,3120.19,222.97,2,0.18
152,2023-06-01,1224,Ayesha Noor,West,Home Office,Printer,Technology,2414.82,217.45,9,0.24
153,2023-06-02,1233,Michael Lee,East,Consumer,Headphones,Technology,2416.89,558.53,9,0.18
154,2023-06-03,1171,Ali Khan,North,Consumer,Headphones,Furniture,3851.45,668.79,1,0.32
155,2023-06-04,1151,John Smith,West,Consumer,Laptop,Office Supplies,3161.4,1093.72,6,0.45
156,2023-06-05,1159,Ali Khan,North,Consumer,Mobile,Furniture,3184.65,181.93,10,0.08
157,2023-06-06,1095,Sara Ahmed,East,Consumer,Chair,Furniture,2278.9,1110.93,8,0.19
158,2023-06-07,1232,Ayesha Noor,West,Consumer,Mobile,Furniture,2678.99,177.22,3,0.07
159,2023-06-08,1179,Sara Ahmed,South,Home Office,Headphones,Technology,3741.3,-389.13,11,0.31
160,2023-06-09,1112,Ali Khan,South,Home Office,Headphones,Furniture,4138.41,608.38,9,0.36
161,2023-06-10,1051,Ali Khan,West,Corporate,Desk,Furniture,3497.98,675.8,2,0.47
162,2023-06-11,1267,Michael Lee,West,Home Office,Tablet,Technology,4624.16,1369.08,6,0.14
163,2023-06-12,1294,John Smith,North,Home Office,Laptop,Office Supplies,4110.6,952.12,1,0.48
164,2023-06-13,1112,John Smith,West,Consumer,Desk,Office Supplies,2831.23,1335.55,13,0.03
165,2023-06-14,1100,Sara Ahmed,North,Consumer,Tablet,Furniture,3373.46,1316.69,7,0.3
166,2023-06-15,1112,Ayesha Noor,East,Home Office,Desk,Technology,4635.23,709.15,3,0.03
167,2023-06-16,1080,Fatima Zahra,North,Corporate,Desk,Office Supplies,3114.88,555.52,7,0.45
168,2023-06-17,1186,John Smith,West,Consumer,Laptop,Furniture,4132.79,614.88,4,0.26
169,2023-06-18,1112,Michael Lee,West,Home Office,Laptop,Furniture,3459.61,1456.66,9,0.33
170,2023-06-19,1001,Sara Ahmed,East,Home Office,Printer,Technology,2782.08,1046.34,5,0.42
171,2023-06-20,1129,Sara Ahmed,West,Corporate,Mobile,Furniture,1247.1,-287.47,3,0.08
172,2023-06-21,1219,Fatima Zahra,West,Corporate,Mobile,Office Supplies,2158.69,1056.86,8,0.02
173,2023-06-22,1053,Michael Lee,South,Consumer,Printer,Technology,4840.33,-158.92,6,0.44
174,2023-06-23,1223,Ayesha Noor,South,Corporate,Printer,Office Supplies,3305.94,394.7,2,0.16
175,2023-06-24,1224,Michael Lee,East,Home Office,Headphones,Office Supplies,2843.76,-79.08,3,0.06
176,2023-06-25,1125,Ayesha Noor,North,Home Office,Tablet,Office Supplies,4668.14,879.17,8,0.23
177,2023-06-26,1129,Michael Lee,South,Corporate,Desk,Furniture,2953.23,1254.62,10,0.3
178,2023-06-27,1052,Michael Lee,North,Corporate,Printer,Furniture,2654.11,80.72,7,0.02
179,2023-06-28,1171,Ali Khan,West,Corporate,Chair,Office Supplies,3808.59,-335.98,10,0.14
180,2023-06-29,1217,Sara Ahmed,South,Corporate,Mobile,Office Supplies,3577.69,96.99,6,0.02
181,2023-06-30,1159,Michael Lee,East,Consumer,Printer,Technology,1006.14,844.72,14,0.21
182,2023-07-01,1197,Fatima Zahra,East,Corporate,Chair,Technology,2382.98,157.52,1,0.45
183,2023-07-02,1246,Michael Lee,East,Consumer,Chair,Furniture,2388.95,56.22,9,0.49
184,2023-07-03,1202,John Smith,South,Home Office,Chair,Furniture,1922.21,-131.13,3,0.32
185,2023-07-04,1183,Sara Ahmed,North,Corporate,Headphones,Technology,2610.6,495.03,14,0.08
186,2023-07-05,1122,John Smith,West,Consumer,Headphones,Office Supplies,2094.88,51.9,5,0.45
187,2023-07-06,1254,Sara Ahmed,North,Corporate,Chair,Furniture,1036.76,962.02,7,0.26
188,2023-07-07,1293,John Smith,North,Home Office,Tablet,Office Supplies,2091.21,-346.76,7,0.08
189,2023-07-08,1279,Michael Lee,West,Home Office,Headphones,Technology,407.77,828.07,3,0.46
190,2023-07-09,1097,Michael Lee,West,Home Office,Desk,Furniture,2900.14,-24.88,4,0.38
191,2023-07-10,1197,Ali Khan,South,Corporate,Chair,Furniture,4275.59,478.56,10,0.37
192,2023-07-11,1239,Fatima Zahra,South,Corporate,Desk,Technology,3640.17,72.18,7,0.35
193,2023-07-12,1143,John Smith,South,Consumer,Desk,Furniture,1833.95,945.54,8,0.1
194,2023-07-13,1096,Ayesha Noor,South,Home Office,Chair,Technology,481.0,1390.61,2,0.11
195,2023-07-14,1200,Ali Khan,South,Corporate,Mobile,Furniture,1050.64,1334.15,9,0.34
196,2023-07-15,1123,John Smith,West,Home Office,Tablet,Technology,2750.18,666.85,7,0.11
197,2023-07-16,1186,John Smith,North,Home Office,Chair,Furniture,1074.93,425.22,13,0.22
198,2023-07-17,1258,Ali Khan,South,Consumer,Chair,Office Supplies,2742.67,1136.6,8,0.39
199,2023-07-18,1147,Michael Lee,South,Consumer,Headphones,Office Supplies,1196.42,866.65,6,0.39
200,2023-07-19,1251,John Smith,North,Consumer,Chair,Office Supplies,4252.17,-132.87,6,0.23
201,2023-07-20,1146,Michael Lee,South,Consumer,Mobile,Furniture,2016.49,1141.84,9,0.4
202,2023-07-21,1147,Ali Khan,North,Home Office,Headphones,Furniture,1265.48,357.77,4,0.42
203,2023-07-22,1198,Michael Lee,North,Consumer,Laptop,Office Supplies,4071.01,-122.03,11,0.33
204,2023-07-23,1127,Sara Ahmed,West,Consumer,Laptop,Office Supplies,1747.05,63.59,11,0.11
205,2023-07-24,1038,Ayesha Noor,East,Consumer,Desk,Technology,601.86,35.05,5,0.14
206,2023-07-25,1128,John Smith,West,Consumer,Tablet,Technology,2873.53,538.41,9,0.16
207,2023-07-26,1266,Fatima Zahra,East,Home Office,Desk,Technology,2928.74,-31.26,1,0.06
208,2023-07-27,1150,Ayesha Noor,East,Consumer,Mobile,Office Supplies,3587.74,-252.87,4,0.14
209,2023-07-28,1297,Michael Lee,East,Home Office,Printer,Office Supplies,1239.09,-252.62,7,0.1
210,2023-07-29,1098,John Smith,South,Corporate,Tablet,Office Supplies,2246.67,666.55,11,0.23
211,2023-07-30,1262,Michael Lee,West,Home Office,Laptop,Technology,1447.72,969.52,9,0.45
212,2023-07-31,1251,Sara Ahmed,East,Home Office,Desk,Furniture,450.72,143.07,14,0.05
213,2023-08-01,1143,Ali Khan,North,Consumer,Laptop,Office Supplies,4389.24,-430.7,13,0.36
214,2023-08-02,1111,John Smith,South,Corporate,Mobile,Furniture,3657.91,-245.55,11,0.34
215,2023-08-03,1059,Sara Ahmed,West,Corporate,Mobile,Furniture,1542.24,1329.39,12,0.05
216,2023-08-04,1001,Sara Ahmed,East,Corporate,Printer,Furniture,3016.9,487.09,13,0.46
217,2023-08-05,1253,John Smith,North,Corporate,Printer,Technology,1046.26,407.15,10,0.28
218,2023-08-06,1139,Michael Lee,West,Home Office,Headphones,Furniture,4456.67,-423.9,6,0.18
219,2023-08-07,1036,Fatima Zahra,West,Corporate,Tablet,Office Supplies,618.79,957.27,12,0.38
220,2023-08-08,1159,Sara Ahmed,South,Home Office,Mobile,Technology,68.99,556.14,8,0.13
221,2023-08-09,1008,Ayesha Noor,West,Home Office,Desk,Office Supplies,2534.94,-95.84,13,0.35
222,2023-08-10,1232,Sara Ahmed,South,Home Office,Laptop,Office Supplies,2936.48,-279.85,9,0.02
223,2023-08-11,1098,Fatima Zahra,East,Corporate,Chair,Technology,2915.88,266.78,10,0.42
224,2023-08-12,1146,Michael Lee,South,Consumer,Printer,Office Supplies,319.83,1174.32,4,0.22
225,2023-08-13,1207,Michael Lee,North,Consumer,Chair,Office Supplies,1604.52,1230.59,1,0.32
226,2023-08-14,1130,Ayesha Noor,South,Corporate,Desk,Technology,2521.03,705.69,14,0.11
227,2023-08-15,1151,Sara Ahmed,North,Consumer,Printer,Office Supplies,1122.07,955.07,8,0.34
228,2023-08-16,1053,Michael Lee,South,Consumer,Chair,Furniture,4369.5,-269.69,2,0.39
229,2023-08-17,1119,Fatima Zahra,West,Home Office,Tablet,Office Supplies,481.19,676.25,11,0.24
230,2023-08-18,1160,John Smith,East,Home Office,Desk,Furniture,2462.55,833.93,1,0.31
231,2023-08-19,1115,Ali Khan,North,Corporate,Laptop,Office Supplies,3472.51,-98.57,13,0.23
232,2023-08-20,1074,Ali Khan,South,Corporate,Tablet,Technology,1345.67,1260.31,7,0.45
233,2023-08-21,1112,Ali Khan,South,Consumer,Desk,Technology,3139.99,-110.01,12,0.25
234,2023-08-22,1103,Sara Ahmed,South,Home Office,Headphones,Office Supplies,4155.46,126.95,10,0.42
235,2023-08-23,1253,Ayesha Noor,West,Corporate,Printer,Technology,992.17,741.11,9,0.4
236,2023-08-24,1226,Michael Lee,West,Corporate,Mobile,Office Supplies,4590.24,776.7,11,0.21
237,2023-08-25,1111,John Smith,North,Corporate,Laptop,Technology,2790.11,898.77,12,0.12
238,2023-08-26,1098,Fatima Zahra,North,Corporate,Tablet,Furniture,1531.2,-275.98,12,0.2
239,2023-08-27,1152,John Smith,West,Corporate,Tablet,Office Supplies,2182.75,1198.93,9,0.41
240,2023-08-28,1193,Fatima Zahra,North,Corporate,Chair,Furniture,1595.35,565.69,3,0.11
241,2023-08-29,1162,Sara Ahmed,East,Consumer,Printer,Furniture,3639.3,442.64,6,0.26
242,2023-08-30,1207,Ali Khan,East,Home Office,Mobile,Office Supplies,3991.69,1462.2,7,0.4
243,2023-08-31,1168,Sara Ahmed,West,Home Office,Desk,Furniture,4173.04,980.76,14,0.18
244,2023-09-01,1160,Ayesha Noor,North,Corporate,Mobile,Office Supplies,4929.55,-263.99,10,0.32
245,2023-09-02,1067,Ayesha Noor,South,Home Office,Printer,Furniture,3966.86,1013.08,9,0.12
246,2023-09-03,1288,Fatima Zahra,East,Home Office,Printer,Office Supplies,3026.85,-309.5,2,0.05
247,2023-09-04,1276,Michael Lee,West,Home Office,Headphones,Office Supplies,1729.14,-445.06,8,0.4
248,2023-09-05,1134,Michael Lee,North,Corporate,Headphones,Technology,2745.75,307.25,14,0.05
249,2023-09-06,1194,Fatima Zahra,West,Corporate,Mobile,Office Supplies,253.29,1487.16,7,0.14
250,2023-09-07,1127,Ayesha Noor,South,Home Office,Desk,Office Supplies,3736.88,-150.23,4,0.43
251,2023-09-08,1032,Ayesha Noor,East,Home Office,Mobile,Furniture,2257.48,845.29,2,0.17
252,2023-09-09,1175,Ayesha Noor,West,Corporate,Printer,Office Supplies,149.11,-153.21,8,0.49
253,2023-09-10,1021,Sara Ahmed,West,Consumer,Printer,Technology,359.41,949.57,11,0.49
254,2023-09-11,1237,Ayesha Noor,West,Home Office,Chair,Furniture,1967.96,510.71,5,0.13
255,2023-09-12,1157,John Smith,South,Consumer,Headphones,Furniture,2937.94,859.94,6,0.02
256,2023-09-13,1037,Ali Khan,West,Home Office,Chair,Technology,2347.81,-94.25,14,0.35
257,2023-09-14,1229,Ayesha Noor,South,Consumer,Laptop,Furniture,3115.06,991.26,11,0.23
258,2023-09-15,1050,Fatima Zahra,South,Consumer,Printer,Furniture,2427.46,1491.24,7,0.05
259,2023-09-16,1263,Ali Khan,South,Consumer,Chair,Furniture,3325.43,831.3,10,0.35
260,2023-09-17,1282,Sara Ahmed,East,Corporate,Mobile,Furniture,1134.67,486.96,1,0.02
261,2023-09-18,1026,Fatima Zahra,East,Consumer,Headphones,Technology,608.57,1346.35,8,0.44
262,2023-09-19,1225,Ali Khan,West,Consumer,Headphones,Technology,3002.35,-468.3,4,0.07
263,2023-09-20,1276,Fatima Zahra,West,Consumer,Desk,Furniture,2449.21,959.85,13,0.06
264,2023-09-21,1285,Sara Ahmed,East,Home Office,Mobile,Furniture,182.99,1277.49,9,0.09
265,2023-09-22,1096,John Smith,North,Consumer,Desk,Technology,1933.39,-376.65,1,0.48
266,2023-09-23,1283,Sara Ahmed,East,Home Office,Chair,Technology,575.32,400.13,11,0.35
267,2023-09-24,1146,Sara Ahmed,South,Consumer,Tablet,Technology,2680.22,-90.56,2,0.4
